Team,SrcA raw,SrcA regressed,VSiN Makinen raw,VSiN centered,ESPN FPI raw,FPI centered,Combined B centered,Win total BetMGM,Win total Fanatics,Win total consensus,WinTotal conflict?,SrcC implied pts,Prior current (A only),Prior A+B VSiN,Prior A+B FPI,Prior A+B combined,Prior A+B+C combined,Wk1 eff current (W1-A),Wk1 eff current (W1-B),Wk1 eff A+B VSiN (W1-A),Wk1 eff A+B FPI (W1-A),Wk1 eff A+B comb (W1-A),Wk1 eff A+B comb (W1-B),Wk1 eff A+B+C comb (W1-A),Rank current,Rank A+B VSiN,Rank A+B FPI,Rank A+B comb,Rank A+B+C comb,FPI rank,Flag TTW-vs-FPI >=2.5,Flag rank gap >=8,Flag movement >=1.5,Flag SrcC direction,Flag GP0-dependent >=0.8
NO,-1.74,-1.17,22.5,-1.5,-2.82,-2.86,-2.18,7.5,7.5,7.5,N,-2.23,-1.17,-1.32,-1.96,-1.64,-1.79,-0.94,-1.17,-1.06,-1.57,-1.31,-1.64,-1.43,21,22,24,23,23,25,N,N,N,N,N
NYG,-2.97,-1.99,22,-2,-1.53,-1.57,-1.79,7.5,7.5,7.5,N,-2.23,-1.99,-1.99,-1.79,-1.9,-1.98,-1.59,-1.99,-1.59,-1.43,-1.52,-1.9,-1.58,24,26,23,24,24,23,N,N,N,N,N
NYJ,-8.71,-5.84,18.5,-5.5,-4.7,-4.75,-5.12,5.5,5.5,5.5,N,-6.43,-5.84,-5.68,-5.33,-5.5,-5.74,-4.67,-5.84,-4.54,-4.26,-4.4,-5.5,-4.59,32,32,32,32,32,29,N,N,N,N,Y
PHI,2.79,1.87,27,3,2.08,2.04,2.52,10.5,10.5,10.5,N,4.07,1.87,2.4,1.95,2.17,2.65,1.5,1.87,1.92,1.56,1.74,2.17,2.12,9,8,9,10,6,10,N,N,N,N,N
PIT,1.23,0.82,23,-1,-0.56,-0.6,-0.8,8.5,8.5,8.5,N,-0.13,0.82,-0.03,0.16,0.06,0.02,0.66,0.82,-0.02,0.13,0.05,0.06,0.02,14,17,17,17,17,21,N,N,N,N,N
SEA,7.65,5.13,29.5,5.5,3.55,3.51,4.5,10.5,10.5,10.5,N,4.07,5.13,5.3,4.37,4.84,4.64,4.1,5.13,4.24,3.5,3.87,4.84,3.71,1,1,2,2,2,3,N,N,N,N,Y
SF,3.31,2.22,27.5,3.5,2.96,2.92,3.21,10.5,10.5,10.5,N,4.07,2.22,2.82,2.55,2.68,3.03,1.78,2.22,2.26,2.04,2.14,2.68,2.42,7,4,6,4,5,5,N,N,N,N,N
TB,-0.89,-0.6,23,-1,0.04,-0.01,-0.5,8.5,8.5,8.5,N,-0.13,-0.6,-0.79,-0.32,-0.55,-0.45,-0.48,-0.6,-0.63,-0.26,-0.44,-0.55,-0.36,20,19,20,19,20,18,N,N,N,N,N
TEN,-5.87,-3.93,20.5,-3.5,-4.02,-4.06,-3.78,6.5,6.5,6.5,N,-4.33,-3.93,-3.73,-3.99,-3.86,-3.98,-3.14,-3.93,-2.98,-3.19,-3.09,-3.86,-3.18,30,28,28,28,27,27,N,N,N,N,N
WAS,-3.77,-2.53,23,-1,-1.4,-1.44,-1.22,7.5,7.5,7.5,N,-2.23,-2.53,-1.82,-2.02,-1.92,-2,-2.02,-2.53,-1.46,-1.62,-1.54,-1.92,-1.6,25,25,25,25,25,22,N,N,N,N,N
